Group,LENGTH,WIDTH,TRILENGTH,TRIWIDTH,PTDLENGTH,HTHPD,HTMTD,HTPAD,HTMCC
5,1.13,0.46,0.94,0.44,0.51,0.35,0.61,0.57,0.31
5,1.04,0.4,0.87,0.37,0.46,0.28,0.58,0.52,0.27
5,1.17,0.43,0.93,0.39,0.52,0.32,0.62,0.57,0.3
5,1.05,0.41,0.89,0.37,0.49,0.3,0.56,0.49,0.23
5,1.05,0.41,0.84,0.36,0.46,0.3,0.5,0.49,0.23
5,1.21,0.51,1.08,0.46,0.61,0.29,0.65,0.63,0.29
5,0.98,0.36,0.84,0.35,0.45,0.25,0.44,0.35,0.21
5,1.28,0.77,1.04,0.72,0.47,0.44,0.89,0.86,0.46
5,1.25,0.64,1,0.6,0.51,0.35,0.78,0.75,0.34
5,1.38,0.63,1.09,0.58,0.55,0.42,0.79,0.73,0.37
5,1.3,0.58,1.1,0.56,0.59,0.35,0.71,0.66,0.32
5,1.29,0.6,1.09,0.58,0.63,0.36,0.73,0.72,0.36
5,1.25,0.61,1.04,0.55,0.57,0.44,0.73,0.72,0.35
5,1.27,0.54,1.06,0.5,0.48,0.32,0.7,0.64,0.27
5,1.31,0.61,1.07,0.57,0.59,0.38,0.71,0.68,0.3
5,1.35,0.58,1.06,0.53,0.52,0.41,0.75,0.72,0.34
5,1.25,0.62,0.99,0.58,0.48,0.37,0.76,0.71,0.32
5,1.41,0.76,1.08,0.69,0.5,0.48,0.93,0.92,0.46
5,1.22,0.59,0.99,0.56,0.49,0.32,0.65,0.64,0.3
5,1,0.59,0.84,0.57,0.4,0.35,0.69,0.7,0.33
5,1.14,0.44,0.93,0.41,0.51,0.36,0.63,0.54,0.28
5,1.13,0.63,0.88,0.58,0.38,0.36,0.73,0.73,0.37
5,1.14,0.62,0.85,0.58,0.39,0.41,0.8,0.8,0.41
5,1.27,0.66,1.01,0.64,0.53,0.45,0.84,0.78,0.41
5,1.22,0.65,0.93,0.6,0.48,0.45,0.78,0.78,0.43
5,1.25,0.65,0.92,0.6,0.43,0.41,0.76,0.72,0.44
5,1.31,0.81,1.07,0.75,0.57,0.53,0.93,0.93,0.46
5,1.08,0.58,0.82,0.52,0.38,0.32,0.67,0.68,0.35
5,1.49,0.88,1.16,0.83,0.57,0.54,0.98,0.96,0.55
5,1.14,0.55,0.93,0.51,0.46,0.37,0.66,0.66,0.31
5,1.3,0.59,1.08,0.57,0.55,0.41,0.74,0.69,0.35
5,1.32,0.56,1.09,0.53,0.57,0.4,0.81,0.75,0.38
5,1.29,0.6,1.04,0.57,0.57,0.41,0.77,0.72,0.35
5,1.15,0.63,0.88,0.58,0.44,0.41,0.73,0.7,0.36
5,1.36,0.62,1.09,0.57,0.58,0.41,0.77,0.73,0.33
5,1.24,0.56,1,0.53,0.53,0.36,0.68,0.67,0.31
5,1.11,0.6,0.93,0.55,0.41,0.36,0.74,0.7,0.37
5,1.4,0.68,1.1,0.63,0.47,0.41,0.74,0.81,0.36
5,1.18,0.54,0.99,0.5,0.52,0.34,0.62,0.57,0.26
5,1.33,0.73,1,0.66,0.5,0.47,0.87,0.88,0.46
5,1.17,0.54,0.98,0.51,0.51,0.37,0.7,0.62,0.3
5,0.78,0.37,0.57,0.36,0.28,0.33,0.55,0.55,0.32
5,0.94,0.55,0.7,0.5,0.36,0.38,0.65,0.71,0.44
5,1.12,0.55,0.93,0.51,0.53,0.39,0.68,0.66,0.3
5,1.05,0.48,0.86,0.45,0.49,0.38,0.64,0.65,0.32
5,1.09,0.51,0.97,0.46,0.53,0.37,0.69,0.61,0.29
5,1.1,0.58,0.79,0.55,0.42,0.39,0.69,0.68,0.39
5,1.18,0.59,1.01,0.54,0.56,0.44,0.73,0.8,0.41
5,1.03,0.55,0.74,0.52,0.35,0.35,0.74,0.8,0.48
5,0.96,0.53,0.69,0.49,0.33,0.42,0.66,0.71,0.42
5,1.18,0.73,0.93,0.66,0.48,0.57,0.88,0.88,0.56
5,0.83,0.42,0.62,0.38,0.3,0.33,0.58,0.63,0.39
5,0.93,0.47,0.75,0.44,0.42,0.32,0.58,0.71,0.38
5,0.75,0.42,0.65,0.39,0.32,0.26,0.51,0.61,0.35
5,0.8,0.46,0.66,0.42,0.42,0.37,0.61,0.55,0.29
5,0.66,0.36,0.5,0.33,0.28,0.23,0.42,0.47,0.27
5,0.62,0.33,0.49,0.31,0.27,0.27,0.45,0.45,0.22
5,0.62,0.31,0.48,0.28,0.29,0.23,0.41,0.38,0.21
5,0.56,0.28,0.45,0.25,0.25,0.2,0.38,0.39,0.21
